"sample_ID","library","gene","LFC","is_depleted","msStatus","CMS_prediction","KRAS_class"
"HCM-SANG-1318-C20","minLib","SCD",-0.6759772798345,1,"MSS","CMS2","WT"
"HCM-SANG-1316-C18","minLib","SCD",-2.23947941644,1,"MSS","CMS2","WT"
"WTSI-COLIVM_031","minLib","SCD",-0.188671471436449,0,"MSS","CMS4","other"
"WTSI-COLIVM_036","minLib","SCD",-1.40040217954989,1,"MSS","CMS4","G12X"
"WTSI-COLIVM_040","minLib","SCD",-1.34447889728067,1,"MSS","CMS3","WT"
"WTSI-COLIVM_045","minLib","SCD",-1.54715416336888,1,"MSS","CMS3","WT"
"WTSI-COLIVM_058","minLib","SCD",-1.36280646963999,1,"MSS","CMS4","G13X"
"WTSI-COLIVM_060","minLib","SCD",-1.33713690032878,1,"MSS","CMS3","G12X"
"WTSI-COLIVM_061","minLib","SCD",0.414509023907014,0,"MSS","CMS1","other"
"WTSI-COLIVM_084","minLib","SCD",-1.07261345171832,1,"MSS","CMS2","G12X"
"WTSI-COLIVM_085","minLib","SCD",-1.27957565562859,1,"MSS","CMS2","WT"
"WTSI-COLIVM_086","minLib","SCD",-1.15496602482699,1,"MSS","CMS4","G13X"
"HCM-SANG-0268-C18","minLib","SCD",-1.35615260209501,1,"MSS","CMS4","G12X"
"HCM-SANG-0270-C20","v1_1","SCD",-1.10412146822144,1,"MSS","CMS3","G12X"
"HCM-SANG-0272-C20","minLib","SCD",-1.56445590249591,1,"MSS","CMS3","G12X"
"HCM-SANG-0275-C18","minLib","SCD",-0.866585948987536,1,"MSS","CMS4","WT"
"HCM-SANG-0278-C20","v1_1","SCD",-0.814156090500454,1,"MSS","CMS4","WT"
"HCM-SANG-0280-C18","minLib","SCD",-0.763383823751592,1,"MSS","CMS2","WT"
"HCM-SANG-0281-C18","v1_1","SCD",-0.37408023178709,1,"MSS","CMS4","WT"
"HCM-SANG-0282-C18","v1_1","SCD",-1.99501974466757,1,"MSI","CMS1","WT"
"HCM-SANG-0529-C18","minLib","SCD",-1.03865486400954,1,"MSS","CMS2","G12X"
"HCM-SANG-1087-C18","minLib","SCD",-1.02861522709823,1,"MSI","CMS3","WT"
"HCM-SANG-0283-C18","v1_1","SCD",-1.49997632869009,1,"MSS","CMS2","WT"
"HCM-SANG-0532-C20","v1_1","SCD",-0.839976569445533,1,"MSS","CMS3","G12X"
"HCM-SANG-0284-C18","v1_1","SCD",-0.961086808868063,1,"MSS","CMS2","other"
"HCM-SANG-1332-C18","minLib","SCD",-1.65003035798848,1,"MSS","CMS4","WT"
"HCM-SANG-0286-C20","minLib","SCD",-0.91695809682614,1,"MSS","CMS1","Q61X"
"HCM-SANG-0534-C18","minLib","SCD",-1.31824843461533,1,"MSS","CMS1","other"
"HCM-SANG-0288-C18","minLib","SCD",-1.43088801955922,1,"MSI","CMS1","WT"
"HCM-SANG-0517-C20","minLib","SCD",-0.973837704329507,1,"MSS","CMS2","WT"
"WTSI-COLO_198","minLib","SCD",-0.187588549125881,0,"MSI","CMS4","WT"
"HCM-SANG-0519-C20","minLib","SCD",-0.856967802776614,1,"MSS","CMS3","G12X"
"WTSI-COLO_216","minLib","SCD",-1.14508387692216,1,"MSI","CMS1","WT"
"HCM-SANG-0536-C18","v1_1","SCD",-1.20112138069494,1,"MSS","CMS2","WT"
"HCM-SANG-0542-C18","minLib","SCD",-1.76586557719985,1,"MSS","CMS2","WT"
"HCM-SANG-1338-C20","v1_1","SCD",-1.30427719589609,1,"MSS","CMS1","WT"
"WTSI-COLO_278","v1_1","SCD",-1.77805816159012,1,"MSI","CMS1","WT"
"HCM-SANG-1334-C18","v1_1","SCD",-1.24201027683514,1,"MSI","CMS1","WT"
"HCM-SANG-1090-C18","v1_1","SCD",-1.27209730174499,1,"MSI","CMS3","WT"
"HCM-SANG-1321-C18","v1_1","SCD",-1.56118544710123,1,"MSS","CMS2","WT"
"HCM-SANG-1327-C18","minLib","SCD",-0.800600558748881,1,"MSS","CMS4","WT"
"HCM-SANG-1314-C18","minLib","SCD",-2.27302247301033,1,"MSS","CMS2","WT"
"HCM-SANG-1304-C20","v1_1","SCD",-1.22684434529724,1,"MSS","CMS4","WT"
"WTSI-COLO_414","minLib","SCD",-0.709098754265819,1,"MSI","CMS1","WT"
"HCM-SANG-1337-C18","minLib","SCD",-1.63122334405923,1,"MSS","CMS2","G13X"
"WTSI-COLO_435","minLib","SCD",-0.854096341825583,1,"MSS","CMS2","G12X"
"WTSI-COLO_446","minLib","SCD",-1.76271483159794,1,"MSS","CMS3","G12X"
"WTSI-COLO_452","minLib","SCD",-0.649397500672367,0,"MSI","CMS4","WT"
"WTSI-COLO_455","minLib","SCD",-0.438935731205357,0,"MSS","CMS2","G12X"
"HCM-SANG-1312-C20","minLib","SCD",-1.1308788712161,1,"MSS","CMS4","other"
"WTSI-COLO_466","minLib","SCD",0.718571262170629,0,"MSI","CMS1","WT"
"WTSI-COLO_471","minLib","SCD",-1.39597444289373,1,"MSI","CMS3","WT"
